81,007,ENKELZIJDIG,Burgemeester E. Ryckaertsplein (2600),null,2600,2
82,009,ENKELZIJDIG,Wilrijkstraat (2140),null,2140,3
83,088,ENKELZIJDIG,Van Trierstraat (2018),2,2018,1
84,029,ENKELZIJDIG,Lange Lozanastraat (2018),null,2018,1
85,042,ENKELZIJDIG,Mechelsesteenweg (2018),null,2018,1
86,097,ENKELZIJDIG,Stanleystraat (2018),1,2018,1
87,086,ENKELZIJDIG,Troonplaats (2018),null,2018,1
88,092,ENKELZIJDIG,Mechelsesteenweg (2018),180,2018,1
89,090,ENKELZIJDIG,Vinkenstraat (2018),7,2018,1
90,081,ENKELZIJDIG,Bolivarplaats (2000),null,2000,1
91,106,ENKELZIJDIG,Draakplaats (2018),null,2600,2
92,083,ENKELZIJDIG,Amerikalei (2000),82,2000,1
93,015,ENKELZIJDIG,Beeldhouwersstraat (2000),null,2000,1
94,104,ENKELZIJDIG,Provinciestraat (2018),null,2018,1
95,082,DUBBELZIJDIG,Waalsekaai (2000),46,2000,1
96,091,ENKELZIJDIG,Mechelsesteenweg (2018),66,2018,1
97,105,ENKELZIJDIG,Plantin en Moretuslei (2018),158,2018,1
98,078,ENKELZIJDIG,Britselei (2000),86-94,2000,1
99,075,ENKELZIJDIG,Vlaamsekaai (2000),35,2000,1
100,116,ENKELZIJDIG,Van Eycklei (2018),48,2018,1
101,034,ENKELZIJDIG,Leuvenstraat (2000),null,2000,1
102,079,ENKELZIJDIG,Britselei (2000),4,2000,1
103,132,ENKELZIJDIG,Maarschalk Montgomeryplein (2140),4,2140,3
104,072,ENKELZIJDIG,Kronenburgstraat (2000),82,2000,1
105,074,ENKELZIJDIG,Kloosterstraat (2000),164,2000,1
106,005,DUBBELZIJDIG,Lange Kievitstraat (2018),70,2018,1
107,084,ENKELZIJDIG,Lange Gasthuisstraat (2000),3,2000,1
108,107,DUBBELZIJDIG,Moorkensplein (2140),null,2140,3
109,037,ENKELZIJDIG,Tabakvest (2000),42,2000,1
110,095,ENKELZIJDIG,Quinten Matsijslei (2018),12,2018,1
111,070,ENKELZIJDIG,Sint-Andriesplaats (2000),23,2000,1
112,071,ENKELZIJDIG,Sint-Michielskaai (2000),21,2000,1
113,067,ENKELZIJDIG,Oudaan (2000),14,2000,1
114,036,ENKELZIJDIG,Schuttershofstraat (2000),2,2000,1
115,023,ENKELZIJDIG,Wapper (2000),null,2000,1
116,066,ENKELZIJDIG,Drukkerijstraat (2000),18,2000,1
117,001,ENKELZIJDIG,Koningin Astridplein (2018),31-32,2018,1
118,018,ENKELZIJDIG,Meir (2000),18,2000,1
119,025,DUBBELZIJDIG,Leysstraat (2000),27,2000,1
120,109,ENKELZIJDIG,Kerkstraat (2060),58,2060,1
121,113,ENKELZIJDIG,Vercammenstraat (2140),3,2140,3
122,064,DUBBELZIJDIG,Plantinkaai (2000),null,2000,1
123,011,ENKELZIJDIG,Osystraat (2060),null,2000,1
124,059,ENKELZIJDIG,Ernest Van Dijckkaai (2000),11-12,2000,1
125,057,ENKELZIJDIG,Wolstraat (2000),2,2000,1
126,032,ENKELZIJDIG,De Coninckplein (2060),26,2060,1
127,114,ENKELZIJDIG,Pesthofstraat (2060),7,2060,1
128,056,ENKELZIJDIG,Minderbroedersrui (2000),46,2000,1
129,115,ENKELZIJDIG,Sint-Elisabethstraat (2060),63,2060,1
130,058,ENKELZIJDIG,Jordaenskaai (2000),null,2000,1
131,053,ENKELZIJDIG,Paardenmarkt (2000),90,2000,1
132,122,ENKELZIJDIG,Pothoekstraat (2060),122,2060,1
133,117,ENKELZIJDIG,Sint-Jansplein (2060),17,2060,1
134,052,DUBBELZIJDIG,Entrepotkaai (2000),15,2000,1
135,049,ENKELZIJDIG,Sint-Pietersvliet (2000),null,2000,1
136,033,ENKELZIJDIG,Hessenplein (2000),2,2000,1
137,135,DUBBELZIJDIG,Sint-Aldegondiskaai (2000),2,2000,1
138,045,DUBBELZIJDIG,Oudeleeuwenrui (2000),2,2000,1
